label,n_rows,in_1940_set
als_Latn,59,True
ceb_Latn,59,True
tur_Latn,59,True
sin_Sinh,59,True
ada_Latn,59,True
qva_Latn,59,True
hsb_Latn,59,True
kbr_Latn,59,True
tsz_Latn,59,True
yua_Latn,59,True
sag_Latn,59,True
ote_Latn,59,True
bis_Latn,59,True
wln_Latn,59,True
lld_Latn,59,True
bcl_Latn,59,True
bre_Latn,59,True
gsw_Latn,59,True
tuk_Latn,59,True
khm_Khmr,59,True
kin_Latn,59,True
xsm_Latn,59,True
rar_Latn,59,True
srp_Latn,59,True
slv_Latn,59,True
cof_Latn,59,True
qwh_Latn,59,True
mic_Latn,59,True
mar_Deva,59,True
mlt_Latn,59,True
gaa_Latn,59,True
not_Latn,59,True
tly_Latn,59,True
eus_Latn,59,True
yue_Hani,59,True
crh_Latn,59,True
tir_Ethi,58,True
arb_Arab,58,True
mxv_Latn,58,True
bci_Latn,58,True
run_Latn,58,True
haw_Latn,58,True
fra_Latn,58,True
ilo_Latn,58,True
cnh_Latn,58,True
glv_Latn,58,True
lij_Latn,58,True
kab_Latn,58,True
eng_Latn,58,True
bum_Latn,58,True
kqs_Latn,58,True
fry_Latn,58,True
lad_Latn,58,True
tyv_Cyrl,58,True
guc_Latn,58,True
huu_Latn,58,True
qvc_Latn,58,True
lit_Latn,58,True
mam_Latn,58,True
ita_Latn,58,True
kaz_Cyrl,58,True
kat_Geor,58,True
tzo_Latn,58,True
cri_Latn,58,True
uzn_Latn,58,True
kir_Cyrl,58,True
hnj_Latn,58,True
srr_Latn,58,True
swh_Latn,58,True
guu_Latn,58,True
nds_Latn,58,True
tel_Telu,58,True
vmw_Latn,58,True
ddn_Latn,58,True
nso_Latn,58,True
niu_Latn,58,True
heb_Hebr,58,True
lua_Latn,58,True
uig_Arab,58,True
wuu_Hani,58,True
mah_Latn,58,True
ben_Beng,58,True
lus_Latn,58,True
azj_Latn,58,True
isl_Latn,58,True
sus_Latn,58,True
fuf_Latn,58,True
fkv_Latn,58,True
nbl_Latn,58,True
swb_Latn,58,True
pap_Latn,58,True
qvh_Latn,58,True
loz_Latn,58,True
pan_Guru,58,True
sme_Latn,58,True
uzn_Cyrl,58,True
gej_Latn,58,True
quc_Latn,58,True
kha_Latn,58,True
mkd_Cyrl,58,True
lue_Latn,58,True
yap_Latn,58,True
tet_Latn,58,True
ndo_Latn,58,True
vep_Latn,58,True
rus_Cyrl,58,True
kri_Latn,58,True
arn_Latn,58,True
tsn_Latn,58,True
xho_Latn,58,True
bul_Cyrl,58,True
kan_Knda,58,True
tpi_Latn,58,True
ami_Latn,58,True
lob_Latn,58,True
ast_Latn,58,True
nno_Latn,58,True
sco_Latn,58,True
ibo_Latn,58,True
guj_Gujr,58,True
vec_Latn,58,True
crs_Latn,58,True
kea_Latn,58,True
chk_Latn,58,True
kal_Latn,58,True
mfq_Latn,58,True
kor_Hang,58,True
zul_Latn,58,True
fon_Latn,58,True
bel_Cyrl,58,True
dyu_Latn,58,True
mai_Deva,58,True
ina_Latn,58,True
bba_Latn,58,True
pcd_Latn,58,True
kmr_Latn,58,True
epo_Latn,58,True
cat_Latn,58,True
suk_Latn,58,True
ces_Latn,58,True
kaa_Cyrl,58,True
nld_Latn,58,True
glg_Latn,58,True
ukr_Cyrl,58,True
hil_Latn,58,True
som_Latn,57,True
bam_Latn,57,True
cak_Latn,57,True
agr_Latn,57,True
toi_Latn,57,True
lao_Laoo,57,True
kjh_Cyrl,57,True
tgk_Cyrl,57,True
abk_Cyrl,57,True
tah_Latn,57,True
div_Thaa,57,True
cfm_Latn,57,True
khk_Cyrl,57,True
pon_Latn,57,True
yor_Latn,57,True
quz_Latn,57,True
cbt_Latn,57,True
tuk_Cyrl,57,True
qvn_Latn,57,True
cha_Latn,57,True
zyb_Latn,57,True
tat_Cyrl,57,True
pau_Latn,57,True
koi_Cyrl,57,True
cbu_Latn,57,True
hak_Hani,57,True
qxn_Latn,57,True
dip_Latn,57,True
dag_Latn,57,True
kek_Latn,57,True
mri_Latn,57,True
sah_Cyrl,57,True
fao_Latn,57,True
bem_Latn,57,True
sid_Latn,57,True
sot_Latn,57,True
quh_Latn,57,True
pis_Latn,57,True
toj_Latn,57,True
fat_Latn,57,True
rup_Latn,57,True
aii_Syrc,57,True
mya_Mymr,56,True
ady_Cyrl,56,True
shn_Mymr,56,True
mnw_Mymr,56,True
bho_Deva,56,True
lun_Latn,56,True
gle_Latn,56,True
ura_Latn,56,True
mos_Latn,56,True
azj_Cyrl,56,True
pbb_Latn,56,True
pcm_Latn,56,True
slk_Latn,56,True
yad_Latn,55,True
san_Deva,55,True
yrk_Cyrl,55,True
kbd_Cyrl,55,True
tem_Latn,55,True
dyo_Latn,55,True
npi_Deva,55,True
shk_Latn,55,True
ido_Latn,55,True
hlt_Latn,55,True
dje_Latn,54,True
koo_Latn,54,True
plt_Latn,53,True
mag_Deva,53,True
cni_Latn,52,True
yao_Latn,52,True
alt_Cyrl,51,True
idu_Latn,51,True
mto_Latn,51,True
nio_Cyrl,51,True
kde_Latn,51,True
amh_Ethi,51,True
miq_Latn,51,True
nyn_Latn,50,True
zdj_Latn,50,True
gyr_Latn,49,True
eve_Cyrl,49,True
lug_Latn,49,True
gug_Latn,49,True
bin_Latn,47,True
lia_Latn,45,True
ojb_Cans,44,True
oss_Cyrl,44,True
ike_Cans,44,True
csw_Cans,43,True
cbs_Latn,43,True
wwa_Latn,39,True
ese_Latn,35,True
chv_Cyrl,25,True
tzh_Latn,25,True
taj_Deva,1,True
tzm_Tfng,1,True
lot_Latn,140,False
ibb_Latn,67,False
ccp_Cakm,62,False
vai_Vaii,61,False
cic_Latn,60,False
tgl_Latn,60,False
ppl_Latn,59,False
orh_Latn,59,False
hms_Latn,59,False
src_Latn,59,False
pbu_Arab,59,False
bos_Cyrl,59,False
oki_Latn,59,False
gld_Cyrl,59,False
cnr_Latn,59,False
bos_Latn,59,False
zlm_Latn,58,False
ztu_Latn,58,False
rgn_Latn,58,False
nhn_Latn,58,False
que_Latn,58,False
nan_Hani,58,False
snk_Latn,58,False
cjy_Hani,58,False
fuf_Adlm,58,False
mxi_Latn,58,False
bax_Latn,58,False
hrv_Latn,58,False
emk_Latn,58,False
oaa_Cyrl,58,False
pes_Arab,58,False
hsn_Hani,58,False
slr_Latn,58,False
gan_Hani,58,False
mzi_Latn,58,False
hea_Latn,58,False
duu_Latn,57,False
tdt_Latn,57,False
csa_Latn,57,False
aar_Latn,57,False
fvr_Latn,57,False
evn_Cyrl,57,False
buc_Latn,57,False
hni_Latn,57,False
iii_Yiii,57,False
piu_Latn,57,False
lns_Latn,57,False
niv_Cyrl,56,False
zro_Latn,56,False
gkp_Latn,56,False
amc_Latn,56,False
prs_Arab,56,False
guk_Latn,55,False
blt_Tavt,55,False
qxu_Latn,54,False
nku_Latn,52,False
ykg_Cyrl,51,False
san_Gran,51,False
kkh_Lana,51,False
ijs_Latn,50,False
nym_Latn,49,False
bfa_Latn,42,False
zlm_Arab,24,False
tgl_Tglg,1,False
