lang,T,n1,n_types,plateau_size,plateau_mass,floor,plateau_types_used,corpus_lines,empty_lines
agt_Latn,779085,180,4251,90631,2.21168323e-03,-17.528553,141,16997,0
agu_Latn,1209260,163,3651,92103,1.46192511e-03,-17.958664,160,22058,0
agw_Latn,1637326,377,4051,91377,1.06931623e-03,-18.263485,244,39173,0
agx_Cyrl,81574,77,1265,98057,2.07209537e-02,-15.369914,26,1958,0
aha_Latn,397340,810,3229,93496,4.49125348e-03,-16.851297,132,15133,0
ahk_Latn,4469566,215,2653,94825,4.13169107e-04,-19.251442,364,100000,0
aia_Latn,885969,215,3173,92843,1.95758041e-03,-17.674711,151,17546,0
aii_Syrc,1411569,44,425,99546,1.35589121e-03,-18.111671,84,24440,0
aim_Latn,381006,671,4021,90308,4.45746759e-03,-16.824156,141,11048,0
ain_Latn,179720,759,3074,92818,9.55166579e-03,-16.089436,89,4507,0
ajg_Latn,714240,1069,4537,90235,2.43706483e-03,-17.427134,96,29217,0
aji_Latn,560734,610,3124,93715,3.21062742e-03,-17.189302,144,12641,0
ajz_Latn,408437,576,3779,90842,4.22708533e-03,-16.883120,110,11064,0
akb_Latn,548125,354,4699,89613,3.10973446e-03,-17.176474,123,13505,0
ake_Latn,823712,132,2620,94172,2.19299544e-03,-17.575365,127,17791,0
akh_Latn,1790984,41,2722,92516,9.98750029e-04,-18.344143,117,24012,0
akp_Latn,730370,196,2953,93164,2.43396570e-03,-17.460350,81,17785,0
ald_Latn,550772,319,2485,95148,3.32237183e-03,-17.170265,98,11035,0
alj_Latn,494699,203,2983,92952,3.58493918e-03,-17.070852,72,13407,0
aln_Latn,2690719,695,6606,86334,6.14894652e-04,-18.760038,137,62542,0
alp_Latn,765926,225,3487,91751,2.29880142e-03,-17.502201,157,17561,0
alq_Latn,1037305,339,3518,92965,1.70597194e-03,-17.813599,227,17867,0
als_Latn,4295442,1400,9858,82532,3.68043608e-04,-19.228251,529,100000,0
alt_Cyrl,2650160,133,2537,96636,7.03577591e-04,-18.738039,255,84843,0
aly_Latn,307785,454,2252,95091,5.80638186e-03,-16.611387,107,6317,0
alz_Latn,2106287,1169,7843,84800,7.69927273e-04,-18.517265,280,92770,0
ame_Latn,1841735,718,4874,90636,9.42689765e-04,-18.381380,352,34032,0
amf_Latn,567975,327,3782,91695,3.05729513e-03,-17.216448,107,13325,0
amh_Ethi,6631058,1044,2883,98187,3.83579834e-04,-19.360592,1540,100000,0
ami_Latn,1890726,639,4677,90117,9.20691145e-04,-18.399250,168,87543,0
amk_Latn,872737,207,4096,91219,1.96868266e-03,-17.651409,166,17696,0
amm_Latn,1277771,40,2015,95420,1.41849765e-03,-18.024200,105,24436,0
amn_Latn,1726045,94,4357,90561,1.00513538e-03,-18.316412,226,37915,0
amp_Latn,1922321,100,4163,90853,9.01483605e-04,-18.428467,218,30724,0
amr_Latn,1450865,155,3281,92249,1.21953667e-03,-18.141531,192,23701,0
amu_Latn,1004205,185,2753,94447,1.78627875e-03,-17.783415,212,17900,0
amx_Latn,83272,300,1315,96507,2.02543083e-02,-15.376759,51,1656,0
ang_Latn,14524,1137,2457,94826,7.62283956e-02,-14.033820,15,490,0
anm_Latn,1326347,678,5070,88951,1.27673288e-03,-18.059292,96,30734,0
ann_Latn,1128910,191,3097,93152,1.58931762e-03,-17.886438,154,22124,0
anp_Deva,480965,607,3157,96774,5.29206873e-03,-16.721680,627,4499,0
anv_Latn,915929,289,3575,93153,1.93205853e-03,-17.691168,196,17797,0
any_Latn,573734,328,2785,93767,3.13299386e-03,-17.214334,118,11974,0
aoi_Latn,236726,286,2182,96134,7.51925386e-03,-16.363787,87,3242,0
aoj_Latn,2986115,136,4640,90173,5.78066567e-04,-18.865307,185,55040,0
aom_Latn,1122668,77,2750,94099,1.61122989e-03,-17.882860,137,17715,0
aoz_Latn,480640,321,3738,92028,3.62730232e-03,-17.049114,137,13501,0
apb_Latn,595819,367,3255,92533,2.96225274e-03,-17.257126,174,10888,0
apc_Arab,2133964,346,1995,98279,8.41489277e-04,-18.575903,686,79058,0
ape_Latn,3836563,107,5500,87989,4.47216423e-04,-19.097435,108,59332,0
apn_Latn,1286197,95,2040,96022,1.43958124e-03,-18.015736,182,16297,0
apr_Latn,1353594,85,3512,91689,1.31296567e-03,-18.061625,158,24377,0
apt_Latn,431001,577,3812,90008,3.97245183e-03,-16.936026,79,11049,0
apu_Latn,576547,310,2443,94848,3.08936537e-03,-17.239820,160,11186,0
apw_Latn,616812,325,2758,94383,2.90976881e-03,-17.294798,115,11058,0
apy_Latn,1852907,312,3530,92808,9.56353776e-04,-18.390671,205,36974,0
apz_Latn,1655056,78,2388,94094,1.10102933e-03,-18.263559,114,24230,0
aqz_Latn,1860,241,501,98552,1.66103511e-01,-13.293484,2,271,0
arb_Arab,6432346,1224,4296,96808,2.91166318e-04,-19.622101,1932,100000,0
arb_Latn,42844,1565,4055,92553,3.40890824e-02,-14.814315,37,847,0
arc_Syrc,27438,1,278,99697,5.18084062e-02,-14.470094,1,410,0
are_Latn,290888,522,2546,94104,6.02612737e-03,-16.563807,103,6673,0
arg_Latn,804685,2430,10696,82699,1.93606826e-03,-17.570059,409,25914,0
arl_Latn,1511248,111,2656,94447,1.19506992e-03,-18.185345,218,24447,0
arn_Latn,2828702,1248,7925,84864,5.78696664e-04,-18.803537,226,100000,0
arp_Latn,79402,116,995,97616,2.09737752e-02,-15.353279,26,1963,0
arq_Arab,53432,261,1520,97945,2.96902751e-02,-15.009097,51,2712,0
arr_Latn,4075,305,700,98419,1.39422231e-01,-13.467237,3,572,0
ars_Arab,520084,273,1896,97952,3.59011031e-03,-17.121805,277,18539,0
ary_Arab,3609885,625,3109,97264,4.97731799e-04,-19.090633,940,100000,0
arz_Arab,4388349,1998,8325,89252,3.89550255e-04,-19.249737,1037,100000,0
asg_Latn,784777,202,3670,91806,2.22387229e-03,-17.535938,161,17719,0
asm_Beng,4949766,2165,4943,95202,3.68923626e-04,-19.368677,2197,100000,0
asm_Latn,15960,1693,3497,92487,7.03804518e-02,-14.088663,16,455,0
aso_Latn,1604364,76,2759,93214,1.11405382e-03,-18.242403,178,23837,0
ast_Latn,3814656,2765,14153,78275,3.92281999e-04,-19.111513,1142,100000,0
ata_Latn,1388571,213,3045,93148,1.28371347e-03,-18.099943,248,27005,0
atb_Latn,1360806,264,3666,92690,1.31936415e-03,-18.067621,129,25098,0
atd_Latn,899600,196,3802,91890,1.96525176e-03,-17.660482,150,17597,0
atg_Latn,784750,184,2996,93653,2.27907849e-03,-17.531336,180,17802,0
ati_Latn,294589,1197,3598,92689,5.89503376e-03,-16.570650,120,10154,0
atj_Latn,155582,1532,5132,90496,1.05833064e-02,-15.961538,97,1662,0
atq_Latn,312963,635,3539,91599,5.47803210e-03,-16.632185,75,6661,0
att_Latn,959673,192,3754,92221,1.85275210e-03,-17.723026,179,17829,0
auc_Latn,1296783,72,1774,96583,1.42744468e-03,-18.030027,104,17817,0
aui_Latn,196273,759,3526,91715,8.58207546e-03,-16.184521,91,4581,0
auy_Latn,1308251,30,2183,95335,1.40847059e-03,-18.030403,101,24037,0
ava_Cyrl,927701,17,1450,97684,2.01884043e-03,-17.694725,62,17634,0
avk_Latn,31007,1422,3447,92389,4.43459698e-02,-14.549497,29,3056,0
avn_Latn,491088,440,3738,91931,3.55711066e-03,-17.067600,121,11063,0
avt_Latn,1206782,116,3091,93162,1.49696442e-03,-17.946411,149,24340,0
avu_Latn,1482379,79,1426,98287,1.28430219e-03,-18.153187,249,17019,0
awa_Deva,909530,737,3359,96642,2.10143861e-03,-17.643902,761,18700,0
awb_Latn,1320950,77,2582,94494,1.37856335e-03,-18.043005,183,24529,0
awi_Latn,258161,771,3138,92658,6.71068161e-03,-16.440725,110,6621,0
awx_Latn,181684,167,2656,94134,9.58516053e-03,-16.100014,62,4174,0
ayo_Latn,409623,566,3063,93088,4.31400184e-03,-16.887190,141,6717,0
ayp_Arab,297401,64,1111,98195,6.09960344e-03,-16.594242,36,6764,0
ayr_Latn,2969492,1739,10276,82020,5.29130676e-04,-18.858994,199,100000,0
azb_Arab,6208116,1595,5096,96258,2.97935761e-04,-19.593420,2368,100000,0
azg_Latn,1092941,170,2829,94152,1.63979084e-03,-17.865852,154,17785,0
azj_Cyrl,1226967,86,1777,97604,1.51916869e-03,-17.978266,163,26412,0
azj_Latn,3903929,2642,12154,81470,4.02514098e-04,-19.125771,1189,100000,0
azz_Latn,1101295,127,3036,92836,1.62094985e-03,-17.863333,122,17799,0
bak_Cyrl,3216933,1728,5777,93835,5.56811296e-04,-18.942577,1706,100000,0
bal_Arab,2852609,871,4236,96054,7.51372359e-04,-18.666275,1229,39095,0
bam_Latn,611676,2932,11257,80479,2.51566509e-03,-17.280970,322,18697,0
ban_Latn,1627588,1839,12519,79248,9.26679482e-04,-18.264240,490,41792,0
bao_Latn,858604,251,2979,93783,2.10024741e-03,-17.614439,229,17847,0
bar_Latn,3832045,2281,12379,79594,3.85030110e-04,-19.146883,975,100000,0
bas_Latn,2290824,1283,6667,87400,7.33522097e-04,-18.595903,370,100000,0
bav_Latn,855756,182,2481,94911,2.13746934e-03,-17.608828,134,17825,0
bba_Latn,3249443,363,4790,90337,5.34542271e-04,-18.945402,413,84918,0
bbb_Latn,1173500,177,2730,93696,1.52913716e-03,-17.930862,227,21471,0
bbc_Latn,2214163,1254,8891,83753,7.24216340e-04,-18.566048,447,100000,0
bbj_Latn,440731,410,2835,94217,4.05390897e-03,-16.961430,97,11052,0
bbk_Latn,226528,484,2083,95673,7.78836058e-03,-16.323816,118,4286,0
bbo_Latn,227065,596,2659,93368,7.66262708e-03,-16.315704,74,6704,0
bbr_Latn,1156222,114,3167,92948,1.54552721e-03,-17.912186,139,23818,0
bch_Latn,1009621,216,3587,92175,1.74872002e-03,-17.780315,148,22386,0
bci_Latn,2425071,1233,5830,88179,7.07813993e-04,-18.640453,271,100000,0
bcl_Latn,1964290,1984,10949,81805,7.97513088e-04,-18.446106,698,100000,0
bco_Latn,213180,119,2243,94887,8.23127937e-03,-16.260256,80,3937,0
bcw_Latn,1076360,183,2755,94074,1.67953399e-03,-17.841076,120,17698,0
bdd_Latn,1358699,101,2997,93285,1.30466425e-03,-18.085224,173,30992,0
bdh_Latn,717968,351,2662,94593,2.54403386e-03,-17.431343,102,12360,0
bdq_Latn,230430,354,1763,96055,7.83057684e-03,-16.322395,56,4240,0
bea_Latn,42033,310,2108,94847,3.55847863e-02,-14.795857,21,1152,0
bef_Latn,1331849,73,2829,92704,1.34465047e-03,-18.048788,102,24278,0
bel_Cyrl,3512177,2083,6070,92075,4.99356563e-04,-19.032549,1328,100000,0
bem_Latn,2232708,1661,8892,83746,7.16634359e-04,-18.576488,373,100000,0
ben_Beng,4999491,1900,4213,97871,3.74454834e-04,-19.381445,2902,100000,0
ben_Latn,118668,2487,7725,86336,1.29098834e-02,-15.715764,77,3910,0
beq_Latn,394727,375,3546,92190,4.40582864e-03,-16.856434,56,11039,0
bew_Latn,2129405,1869,12502,78896,7.11243416e-04,-18.524382,277,16291,0
bex_Latn,1021437,232,3400,92538,1.76027078e-03,-17.777662,134,22281,0
bfd_Latn,1022593,357,3777,92760,1.73311673e-03,-17.795605,199,17820,0
bfo_Latn,565728,301,2856,94197,3.16776566e-03,-17.207872,97,13446,0
bgr_Latn,654120,213,3358,92704,2.70969171e-03,-17.348087,113,17611,0
bgs_Latn,829218,384,4131,91337,2.12876627e-03,-17.574524,181,19527,0
bgt_Latn,506245,336,3028,92721,3.48501250e-03,-17.096634,118,10924,0
bgz_Latn,569989,742,5388,88678,2.96141500e-03,-17.214855,152,13364,0
bhg_Latn,308367,128,2808,92838,5.67231501e-03,-16.610769,76,7106,0
bhl_Latn,1643002,157,3679,92411,1.08865974e-03,-18.256809,205,27070,0
bho_Deva,2464092,1509,5347,93950,7.37517460e-04,-18.662739,1483,55844,0
bhp_Latn,339484,2249,7148,85748,4.75558571e-03,-16.707603,135,8035,0
bhw_Latn,2390139,1377,7835,85111,6.88925067e-04,-18.632090,306,96876,0
bhz_Latn,300142,613,3381,92165,5.76004218e-03,-16.588146,83,6727,0
bib_Latn,787899,150,2592,94146,2.28744732e-03,-17.532921,78,17804,0
big_Latn,1374570,47,2254,93672,1.32647554e-03,-18.072784,164,24303,0
bim_Latn,2257315,430,5248,89253,7.53895523e-04,-18.589487,212,60084,0
bin_Latn,2426407,1186,6109,88022,7.03585752e-04,-18.644663,295,100000,0
bis_Latn,2009358,1313,6258,88336,8.55008302e-04,-18.453302,417,100000,0
biu_Latn,411316,507,3889,91693,4.17053448e-03,-16.905912,104,11038,0
biv_Latn,659863,288,3231,93688,2.69227223e-03,-17.365095,205,17791,0
bjn_Arab,344761,241,1609,98153,5.13172676e-03,-16.766596,223,6110,0
bjn_Latn,922291,2171,12403,79630,1.64050563e-03,-17.697897,516,27655,0
bjp_Latn,133759,296,2365,93956,1.27399814e-02,-15.813592,57,3587,0
bjr_Latn,1940903,92,2396,94582,9.35865676e-04,-18.431261,209,26849,0
bjv_Latn,1342090,115,2562,94203,1.35460953e-03,-18.057449,123,28868,0
bkd_Latn,659792,167,3623,91733,2.67517985e-03,-17.350376,128,17628,0
bkl_Latn,434624,735,3505,91882,4.03249904e-03,-16.941629,157,6670,0
bkq_Latn,1143171,229,3506,92117,1.56390507e-03,-17.891384,120,17510,0
bku_Latn,564703,208,3129,93220,3.14202152e-03,-17.205606,94,13480,0
bkv_Latn,596955,262,3145,92903,2.99329874e-03,-17.250690,154,13494,0
bla_Latn,46986,680,2159,95867,3.21024756e-02,-14.909539,48,1048,0
blh_Latn,355678,431,2230,95574,5.13775929e-03,-16.738794,71,6716,0
blk_Mymr,2918168,884,2124,99152,7.71361702e-04,-18.671762,1420,26251,0
blt_Latn,387204,210,1461,97152,4.75754260e-03,-16.832056,62,6684,0
blw_Latn,881079,233,4266,91114,1.97742161e-03,-17.645828,152,17130,0
blz_Latn,751420,242,4724,89588,2.26746552e-03,-17.492069,162,17821,0
bmh_Latn,1191865,125,3258,92873,1.50650567e-03,-17.936951,172,23801,0
bmk_Latn,61570,141,2201,94111,2.56134467e-02,-15.116868,29,1657,0
bmq_Latn,463085,332,3316,92266,3.77562070e-03,-17.011621,123,13524,0
bmr_Latn,820269,158,2799,93275,2.18530071e-03,-17.569309,105,17771,0
bmu_Latn,1663429,191,4596,90243,1.05240437e-03,-18.266939,176,27341,0
bmv_Latn,556486,221,2218,94531,3.22010475e-03,-17.195024,85,11017,0
bnj_Latn,601419,217,2875,92990,2.97400532e-03,-17.258093,87,13502,0
bno_Latn,207608,888,3940,91424,8.20886944e-03,-16.225803,85,4263,0
bnp_Latn,1331223,184,4171,91350,1.31768460e-03,-18.054333,220,35503,0
boa_Latn,1005402,128,2238,95781,1.83205485e-03,-17.772137,144,17164,0
bod_Tibt,3148942,501,1622,99176,6.79557928e-04,-18.798719,877,45476,0
boj_Latn,2197246,50,3220,92453,8.18194834e-04,-18.542866,173,41261,0
bom_Latn,505501,430,3789,91755,3.46598160e-03,-17.091637,132,11082,0
bon_Latn,1309205,100,3636,91810,1.34914479e-03,-18.035761,139,24452,0
bor_Latn,1068,168,355,98877,1.78611268e-01,-13.224175,1,156,0
bov_Latn,753605,282,3532,92270,2.32676126e-03,-17.495752,102,17729,0
box_Latn,974024,217,2894,94308,1.85234432e-03,-17.745625,131,17668,0
bpr_Latn,644689,143,3174,92615,2.75124213e-03,-17.331909,126,17724,0
bps_Latn,697977,161,3111,92623,2.53736985e-03,-17.412920,97,17697,0
bpy_Beng,783014,332,1183,99088,2.46459609e-03,-17.509491,421,25498,0
bqc_Latn,1937931,223,4147,91617,8.98994546e-04,-18.439606,198,56840,0
bqj_Latn,475062,509,4388,90476,3.61576521e-03,-17.035292,98,11034,0
bqp_Latn,465759,342,3016,92887,3.81257022e-03,-17.008591,118,13480,0
bre_Latn,1058026,1083,6439,87413,1.55662047e-03,-17.843637,247,33378,0
brh_Arab,2134183,494,2876,97367,1.45928920e-03,-18.016048,774,11614,0
bru_Latn,953911,206,2336,95539,1.93519302e-03,-17.714838,65,17733,0
brx_Deva,152097,278,1698,97569,1.17447291e-02,-15.932666,97,3440,0
brx_Latn,15564,1288,2546,94191,7.27625936e-02,-14.073633,18,374,0
bsc_Latn,512308,460,3788,92367,3.42207105e-03,-17.111034,113,11055,0
bsn_Latn,1056285,229,3097,93674,1.69931232e-03,-17.825108,159,16998,0
bsp_Latn,320345,392,3559,92724,5.46780186e-03,-16.646261,102,7698,0
bsq_Latn,90770,500,1628,96602,1.89166625e-02,-15.446067,55,3179,0
bss_Latn,1040623,338,3666,93682,1.71742517e-03,-17.814590,195,17773,0
btd_Latn,582053,605,5447,88703,2.90707767e-03,-17.233656,183,14730,0
bth_Latn,395651,449,3703,91436,4.39120861e-03,-16.851545,94,10993,0
bts_Latn,1717961,716,6463,87261,9.78966842e-04,-18.305672,247,40284,0
btt_Latn,634728,263,2991,93183,2.82081157e-03,-17.313051,109,13406,0
btx_Latn,2169849,1147,8466,83996,7.44793597e-04,-18.540928,425,100000,0
bud_Latn,604186,264,3132,93146,2.96637324e-03,-17.262339,116,13483,0
bug_Latn,797419,2436,11808,79995,1.89263708e-03,-17.559504,265,14761,0
buk_Latn,1172234,127,2748,94046,1.54161490e-03,-17.926464,159,24072,0
bul_Cyrl,4367840,2329,7934,90134,3.90113602e-04,-19.258125,1563,100000,0
bum_Latn,2682881,1212,7191,86816,6.22170061e-04,-18.753843,304,100000,0
bus_Latn,787938,444,3495,92120,2.24234116e-03,-17.531082,105,23216,0
bvc_Latn,306288,480,2599,93664,5.72986035e-03,-16.609533,88,6694,0
bvd_Latn,211121,500,2450,93877,8.16984737e-03,-16.257046,89,4273,0
bvr_Latn,1152949,306,3198,94080,1.56567531e-03,-17.911339,279,17732,0
bvz_Latn,1215219,233,3162,92803,1.47342941e-03,-17.958397,211,12855,0
bwd_Latn,158256,129,2473,94000,1.07971237e-02,-15.979526,55,3872,0
bwi_Latn,4423,315,715,97879,1.35359652e-01,-13.491307,7,221,0
bwq_Latn,461774,212,2757,92945,3.84000551e-03,-17.002045,87,13507,0
bwu_Latn,781510,247,3458,91872,2.23542596e-03,-17.531475,147,17557,0
bxh_Latn,276055,317,3475,92050,6.21005338e-03,-16.511673,104,7138,0
bxr_Cyrl,1379209,1068,3787,96247,1.31300583e-03,-18.110109,1100,28040,0
byr_Latn,1281007,203,3100,93039,1.39924287e-03,-18.012598,173,18296,0
byv_Latn,44044,481,1535,96538,3.52342339e-02,-14.823429,35,1735,0
byx_Latn,1108085,162,3130,93355,1.62279626e-03,-17.867769,219,17508,0
bzd_Latn,1059134,840,4829,90333,1.64140696e-03,-17.823460,237,25300,0
bzh_Latn,1248205,133,3298,92471,1.43773903e-03,-17.979334,143,24550,0
bzi_Thai,779683,33,752,99185,2.53355978e-03,-17.482872,122,11019,0
bzj_Latn,2543013,1050,6647,86804,6.62797676e-04,-18.690449,200,100000,0
caa_Latn,1057631,212,3367,92584,1.68593561e-03,-17.821306,186,17822,0
cab_Latn,2680699,1456,7925,85320,6.10245376e-04,-18.755814,280,100000,0
cac_Latn,2948627,534,5196,89481,5.85783854e-04,-18.844341,350,54632,0
caf_Latn,897087,242,3745,92172,1.95945596e-03,-17.666500,177,17803,0
cag_Latn,592301,504,3278,93257,2.99256784e-03,-17.254738,162,12070,0
cak_Latn,4955907,894,8096,84279,3.29033668e-04,-19.361238,360,100000,0
cao_Latn,835764,219,3152,92954,2.13066578e-03,-17.591181,149,17717,0
cap_Latn,1587958,420,4941,89824,1.08505158e-03,-18.231735,230,28831,0
caq_Latn,1524365,750,3976,92443,1.16189672e-03,-18.192049,312,31638,0
car_Latn,800043,431,3691,91820,2.19241122e-03,-17.550339,205,18987,0
cas_Latn,382885,599,2665,94138,4.65185783e-03,-16.823006,157,6696,0
cat_Latn,2874826,2574,12552,80574,5.31645024e-04,-18.836466,887,100000,0
cav_Latn,1072208,210,3110,92727,1.65743493e-03,-17.839899,154,17546,0
cax_Latn,1398171,326,4359,90323,1.23897997e-03,-18.104614,157,28858,0
cbc_Latn,1242404,211,3505,92720,1.43751931e-03,-17.982176,213,17534,0
cbi_Latn,528215,377,3268,91690,3.29475515e-03,-17.141592,174,10976,0
cbk_Latn,2541708,1789,10047,82865,6.33249989e-04,-18.689613,596,100000,0
cbr_Latn,1394135,274,3139,93357,1.28015109e-03,-18.104963,265,24284,0
cbs_Latn,1472958,317,3914,90793,1.18293335e-03,-18.156096,163,27312,0
cbt_Latn,596475,226,2051,95747,3.03859301e-03,-17.265825,120,10883,0
cbu_Latn,1075826,139,3288,92601,1.64201387e-03,-17.847887,176,16983,0
cbv_Latn,1849981,109,2906,94325,9.90814514e-04,-18.371485,226,27955,0
cce_Latn,2155223,1326,8060,83988,7.49004785e-04,-18.535194,294,100000,0
cco_Latn,1404377,144,2425,95182,1.30084688e-03,-18.108286,165,17689,0
ccp_Latn,252264,873,4140,91452,6.70244725e-03,-16.428852,83,6763,0
cdf_Latn,250485,765,3474,91813,6.83728167e-03,-16.412874,89,6763,0
cdo_Latn,563419,1719,5285,90298,3.03859230e-03,-17.207232,211,9577,0
ceb_Latn,2705129,2257,13883,78403,5.55627509e-04,-18.765030,664,100000,0
ceg_Latn,672145,322,3357,92356,2.62386074e-03,-17.376514,153,13524,0
cek_Latn,2130722,582,4780,89803,8.15002885e-04,-18.517693,155,44097,0
ces_Latn,4118315,2231,12209,80780,3.73414375e-04,-19.192307,908,100000,0
cfm_Latn,3260303,528,6969,86027,5.06913394e-04,-18.949587,184,80737,0
cgc_Latn,876928,821,5796,88645,1.95112064e-03,-17.631746,294,17863,0
cgg_Latn,686713,920,5007,89128,2.47944195e-03,-17.397551,122,34573,0
cha_Latn,720291,818,6282,86825,2.28847612e-03,-17.451519,154,19311,0
chd_Latn,1050696,446,3998,91653,1.68357444e-03,-17.812601,249,18037,0
che_Cyrl,2394532,857,3777,96053,7.62892629e-04,-18.651049,1007,56243,0
chf_Latn,882626,381,3812,91562,1.99329021e-03,-17.642740,194,18010,0
chj_Latn,229406,353,1400,97458,7.89999706e-03,-16.328070,116,4286,0
chk_Latn,2525184,1195,7523,86274,6.49077392e-04,-18.705242,482,100000,0
cho_Latn,52387,747,2382,95115,2.98607472e-02,-14.974052,58,1031,0
chq_Latn,619130,428,2959,94175,2.88374183e-03,-17.301577,134,10965,0
chr_Cher,829310,4,253,99727,2.30816684e-03,-17.581493,28,11732,0
chr_Latn,298595,433,2181,94720,5.87155993e-03,-16.596315,46,6768,0
chu_Cyrl,989162,635,2606,96329,1.83620423e-03,-17.775579,500,27598,0
chv_Cyrl,1968414,1383,4523,95224,9.21115203e-04,-18.453913,1337,47817,0
chw_Latn,2069875,1435,8103,83996,7.72836668e-04,-18.503967,301,99872,0
chz_Latn,1049207,162,2228,95948,1.76569608e-03,-17.810772,170,17827,0
cjk_Latn,2120846,1559,7613,85049,7.68060440e-04,-18.522625,412,100000,0
cjo_Latn,881730,113,2568,94607,2.03196146e-03,-17.656240,125,17378,0
cjp_Latn,559222,332,3370,92253,3.13915816e-03,-17.196091,134,13518,0
cjs_Cyrl,58934,158,1184,98114,2.79344957e-02,-15.071778,32,1320,0
cjv_Latn,1242284,64,2558,93639,1.46201276e-03,-17.975143,127,24274,0
ckb_Arab,4402572,2338,6924,91468,3.92705405e-04,-19.266195,1549,100000,0
cko_Latn,756585,171,3006,92666,2.34445259e-03,-17.492460,87,17723,0
ckt_Cyrl,88214,266,1372,97934,1.91196067e-02,-15.449090,47,2269,0
cle_Latn,1076346,136,2339,95895,1.70354971e-03,-17.846050,181,17829,0
clu_Latn,425730,512,4346,90851,4.05101423e-03,-16.925764,159,10945,0
cly_Latn,513247,256,2653,94558,3.48854858e-03,-17.115238,119,13513,0
cme_Latn,814713,139,3144,92865,2.18618602e-03,-17.564499,95,17736,0
cmn_Hani,6936347,2285,5716,92661,2.60285238e-04,-19.690435,890,100000,0
cmo_Khmr,779394,47,549,99519,2.51800659e-03,-17.492392,143,11062,0
cmo_Latn,953406,223,2742,94501,1.90893578e-03,-17.717575,187,17989,0
cmr_Latn,302898,409,2432,94729,5.89003178e-03,-16.593269,91,6689,0
